          subj           cond           chan            win           mean
  Subjects2021        POSCONc             F3     +100..+120     8.4640e-01 04_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220     1.5815e+00 04_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370    -3.0733e-01 04_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120     1.0928e+00 04_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220     1.7584e+00 04_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370    -5.1329e-01 04_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120     1.5662e+00 04_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220     1.4266e+00 04_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370    -1.7013e-01 04_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120     1.7017e+00 04_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220     2.6901e+00 04_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370     5.0402e-01 04_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -3.2355e+00 04_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -1.3496e+00 04_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370    -9.8876e-01 04_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -4.1794e+00 06_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220    -1.2633e+00 06_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370    -3.4894e-01 06_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -3.9284e+00 06_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220    -6.1003e-01 06_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370    -1.8383e-01 06_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -3.8655e+00 06_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220     8.2668e-02 06_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370    -1.5395e-01 06_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -4.6367e+00 06_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220    -2.0368e+00 06_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370    -1.5361e+00 06_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -4.4395e+00 06_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -3.8797e+00 06_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370    -2.1224e+00 06_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -4.6527e+00 07_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220     1.2366e-01 07_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370    -1.9256e+00 07_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -4.2175e+00 07_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220     1.1775e+00 07_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370    -1.9629e+00 07_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -3.5995e+00 07_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220     1.6235e+00 07_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370    -1.3808e+00 07_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -4.3746e+00 07_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220    -7.0475e-01 07_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370     3.0885e-01 07_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -6.5627e+00 07_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -4.9004e+00 07_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370     9.3572e-02 07_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -4.1839e+00 08_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220    -9.5951e-01 08_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370     1.7480e+00 08_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -5.1469e+00 08_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220    -9.1128e-01 08_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370     2.0551e+00 08_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -5.5026e+00 08_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220    -5.6663e-01 08_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370     2.5496e+00 08_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -5.3469e+00 08_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220    -4.7980e-01 08_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370     2.1872e+00 08_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -4.6336e+00 08_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -3.0951e+00 08_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370     6.7477e-01 08_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -5.5270e+00 09_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220    -1.4492e+00 09_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370    -4.7352e-02 09_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -6.1093e+00 09_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220    -1.6889e+00 09_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370    -5.1927e-01 09_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -6.2636e+00 09_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220    -2.0498e+00 09_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370    -5.8647e-01 09_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -7.5357e+00 09_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220    -6.1458e-01 09_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370    -8.2113e-01 09_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -3.8107e+00 09_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220     9.8993e-01 09_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370     8.9664e-02 09_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -2.8258e+00 10_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220     1.7816e+00 10_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370    -2.4733e+00 10_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -2.4991e+00 10_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220     2.3643e+00 10_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370    -2.2273e+00 10_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -2.8117e+00 10_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220     2.0770e+00 10_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370    -1.7674e+00 10_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -5.4496e+00 10_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220     1.0344e-01 10_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370    -3.2222e+00 10_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -8.3272e+00 10_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -5.3408e+00 10_POSCONc.avr
