          subj           cond           chan            win           mean
  Subjects2021           YESc             Fz     +100..+120     1.1556e+00    04_YESc.avr
  Subjects2021           YESc             Fz     +180..+220     3.8851e-01    04_YESc.avr
  Subjects2021           YESc             Fz     +310..+370    -1.7330e-01    04_YESc.avr
  Subjects2021           YESc             Cz     +100..+120     1.4070e+00    04_YESc.avr
  Subjects2021           YESc             Cz     +180..+220     2.5404e+00    04_YESc.avr
  Subjects2021           YESc             Cz     +310..+370     5.0872e-02    04_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -1.0396e+00    04_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -1.1648e+00    04_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -1.5346e+00    04_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -5.5949e+00    06_YESc.avr
  Subjects2021           YESc             Fz     +180..+220    -5.5559e-01    06_YESc.avr
  Subjects2021           YESc             Fz     +310..+370     6.2176e-01    06_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -5.9283e+00    06_YESc.avr
  Subjects2021           YESc             Cz     +180..+220    -1.1592e+00    06_YESc.avr
  Subjects2021           YESc             Cz     +310..+370     3.1680e-01    06_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -5.8736e+00    06_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -2.5627e+00    06_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -9.8923e-02    06_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -2.8603e+00    07_YESc.avr
  Subjects2021           YESc             Fz     +180..+220    -7.8839e-01    07_YESc.avr
  Subjects2021           YESc             Fz     +310..+370    -1.2795e+00    07_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -9.6488e-01    07_YESc.avr
  Subjects2021           YESc             Cz     +180..+220     2.0702e-01    07_YESc.avr
  Subjects2021           YESc             Cz     +310..+370     5.1354e-01    07_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -2.1060e+00    07_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -2.0835e+00    07_YESc.avr
  Subjects2021           YESc             Pz     +310..+370     7.3124e-01    07_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -5.3889e+00    08_YESc.avr
  Subjects2021           YESc             Fz     +180..+220    -2.4052e+00    08_YESc.avr
  Subjects2021           YESc             Fz     +310..+370     2.2092e+00    08_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -6.4191e+00    08_YESc.avr
  Subjects2021           YESc             Cz     +180..+220    -2.4517e+00    08_YESc.avr
  Subjects2021           YESc             Cz     +310..+370     1.6301e+00    08_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -4.7920e+00    08_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -4.1623e+00    08_YESc.avr
  Subjects2021           YESc             Pz     +310..+370     7.6029e-01    08_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -7.8308e+00    09_YESc.avr
  Subjects2021           YESc             Fz     +180..+220    -3.9654e+00    09_YESc.avr
  Subjects2021           YESc             Fz     +310..+370    -6.9496e-01    09_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -8.8887e+00    09_YESc.avr
  Subjects2021           YESc             Cz     +180..+220    -4.0618e+00    09_YESc.avr
  Subjects2021           YESc             Cz     +310..+370    -4.2941e-01    09_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -7.6309e+00    09_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -3.9011e+00    09_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -6.2791e-01    09_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -1.7203e+00    10_YESc.avr
  Subjects2021           YESc             Fz     +180..+220     9.1573e-01    10_YESc.avr
  Subjects2021           YESc             Fz     +310..+370    -1.2828e+00    10_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -4.1415e+00    10_YESc.avr
  Subjects2021           YESc             Cz     +180..+220    -1.9825e-02    10_YESc.avr
  Subjects2021           YESc             Cz     +310..+370    -2.8450e+00    10_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -5.8186e+00    10_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -5.4269e+00    10_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -3.3467e+00    10_YESc.avr
