          subj           cond           chan            win           mean
  subject_avgs      CLOSECONc             Fz     +100..+120    -5.4600e+00 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +180..+220     1.7063e+00 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +310..+370     6.4734e-01 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +100..+120    -5.3009e-01 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +180..+220    -5.2442e-01 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +310..+370    -1.5308e+00 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +100..+120    -6.2110e+00 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +180..+220     6.2127e-01 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +310..+370     8.0250e-03 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +100..+120    -1.6356e+00 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +180..+220     2.9780e-01 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +310..+370     1.2122e+00 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +100..+120    -4.6475e+00 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +180..+220    -8.6770e-01 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +310..+370     7.6096e-01 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +100..+120     9.7049e-01 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +180..+220    -4.0827e-01 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +310..+370    -1.0117e+00 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +100..+120     1.0364e-01 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +180..+220    -9.1000e-01 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +310..+370     4.6579e-01 27_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +100..+120     1.3329e+00 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +180..+220     7.8689e-01 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +310..+370    -5.4421e-01 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +100..+120    -1.0821e+00 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +180..+220     4.0129e-01 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +310..+370     5.2221e-01 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +100..+120     1.9887e+00 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +180..+220     3.1277e+00 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +310..+370    -3.0052e-02 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +100..+120    -1.1842e+00 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +180..+220     1.2244e-01 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +310..+370     1.7819e+00 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +100..+120    -7.0219e-01 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +180..+220    -1.0371e+00 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +310..+370    -1.2911e+00 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +100..+120     4.3586e-01 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +180..+220    -1.9410e-01 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +310..+370    -4.1825e-01 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +100..+120    -2.4393e-01 04_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +180..+220    -2.2595e-01 04_CLOSECONc.avr
