          subj           cond           chan            win           mean
  Subjects2021         TWonec             Fz     +100..+120     8.2176e-01  04_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -6.0473e-01  04_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370     7.6640e-03  04_TWonec.avr
  Subjects2021         TWonec             T7     +100..+120    -2.8514e+00  04_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220     3.4231e+00  04_TWonec.avr
  Subjects2021         TWonec             T7     +310..+370     3.6943e-01  04_TWonec.avr
  Subjects2021         TWonec             Cz     +100..+120    -8.3800e-01  04_TWonec.avr
  Subjects2021         TWonec             Cz     +180..+220     4.3079e+00  04_TWonec.avr
  Subjects2021         TWonec             Cz     +310..+370    -4.0447e-01  04_TWonec.avr
  Subjects2021         TWonec             T8     +100..+120    -9.7801e-01  04_TWonec.avr
  Subjects2021         TWonec             T8     +180..+220     1.8645e+00  04_TWonec.avr
  Subjects2021         TWonec             T8     +310..+370     1.8620e+00  04_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120    -2.2877e+00  04_TWonec.avr
  Subjects2021         TWonec             Pz     +180..+220    -1.7141e+00  04_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370    -2.9336e+00  04_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120    -1.0767e+00  04_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220     1.5796e-01  04_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370    -1.2589e+00  04_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120    -8.3142e-01  04_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220     5.2221e-01  04_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370    -5.9342e-01  04_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120    -5.4571e+00  06_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -5.0274e+00  06_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370    -1.8504e+00  06_TWonec.avr
  Subjects2021         TWonec             T7     +100..+120    -4.3744e+00  06_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220    -2.6694e+00  06_TWonec.avr
  Subjects2021         TWonec             T7     +310..+370    -1.5122e+00  06_TWonec.avr
  Subjects2021         TWonec             Cz     +100..+120    -3.3143e+00  06_TWonec.avr
  Subjects2021         TWonec             Cz     +180..+220    -3.9952e+00  06_TWonec.avr
  Subjects2021         TWonec             Cz     +310..+370    -2.4702e+00  06_TWonec.avr
  Subjects2021         TWonec             T8     +100..+120    -4.3546e+00  06_TWonec.avr
  Subjects2021         TWonec             T8     +180..+220    -2.5421e+00  06_TWonec.avr
  Subjects2021         TWonec             T8     +310..+370    -2.1274e+00  06_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120    -1.9563e+00  06_TWonec.avr
  Subjects2021         TWonec             Pz     +180..+220    -5.1639e+00  06_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370    -3.2431e+00  06_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120    -4.8523e-01  06_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220    -8.9907e-01  06_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370    -1.0378e+00  06_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120    -2.0135e+00  06_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220     1.4374e-01  06_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370    -2.5823e+00  06_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120    -8.8523e+00  07_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -7.9450e+00  07_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370    -2.5507e+00  07_TWonec.avr
  Subjects2021         TWonec             T7     +100..+120    -3.5683e+00  07_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220    -2.3669e+00  07_TWonec.avr
  Subjects2021         TWonec             T7     +310..+370     3.8287e-01  07_TWonec.avr
  Subjects2021         TWonec             Cz     +100..+120    -5.7487e+00  07_TWonec.avr
  Subjects2021         TWonec             Cz     +180..+220    -4.8542e+00  07_TWonec.avr
  Subjects2021         TWonec             Cz     +310..+370    -1.2197e+00  07_TWonec.avr
  Subjects2021         TWonec             T8     +100..+120    -2.2979e+00  07_TWonec.avr
  Subjects2021         TWonec             T8     +180..+220    -3.2373e+00  07_TWonec.avr
  Subjects2021         TWonec             T8     +310..+370     8.1450e-01  07_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120     8.3092e-01  07_TWonec.avr
  Subjects2021         TWonec             Pz     +180..+220    -4.3766e-01  07_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370     5.9521e-01  07_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120     2.4594e+00  07_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220     1.5446e+00  07_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370     1.7063e+00  07_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120     3.7212e+00  07_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220     2.1658e+00  07_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370     1.2033e+00  07_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120    -6.1220e+00  08_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -6.4230e+00  08_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370     7.4172e-01  08_TWonec.avr
  Subjects2021         TWonec             T7     +100..+120    -1.5302e+00  08_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220    -3.5810e+00  08_TWonec.avr
  Subjects2021         TWonec             T7     +310..+370    -7.5972e-01  08_TWonec.avr
  Subjects2021         TWonec             Cz     +100..+120    -9.2562e+00  08_TWonec.avr
  Subjects2021         TWonec             Cz     +180..+220    -6.1194e+00  08_TWonec.avr
  Subjects2021         TWonec             Cz     +310..+370     1.7615e-01  08_TWonec.avr
  Subjects2021         TWonec             T8     +100..+120    -1.9100e+00  08_TWonec.avr
  Subjects2021         TWonec             T8     +180..+220    -3.1654e+00  08_TWonec.avr
  Subjects2021         TWonec             T8     +310..+370    -6.5133e-01  08_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120    -5.8677e+00  08_TWonec.avr
  Subjects2021         TWonec             Pz     +180..+220    -7.1932e+00  08_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370    -1.6312e+00  08_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120     6.0984e-01  08_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220    -1.5853e+00  08_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370    -3.0870e-01  08_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120    -1.0367e+00  08_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220    -1.3041e+00  08_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370    -8.2571e-01  08_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120    -8.9663e+00  09_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -4.9087e+00  09_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370     7.7964e-01  09_TWonec.avr
  Subjects2021         TWonec             T7     +100..+120    -2.2839e-01  09_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220     4.1110e-02  09_TWonec.avr
  Subjects2021         TWonec             T7     +310..+370     6.7016e-01  09_TWonec.avr
  Subjects2021         TWonec             Cz     +100..+120    -9.7823e+00  09_TWonec.avr
  Subjects2021         TWonec             Cz     +180..+220    -3.5176e+00  09_TWonec.avr
  Subjects2021         TWonec             Cz     +310..+370     1.1309e+00  09_TWonec.avr
  Subjects2021         TWonec             T8     +100..+120    -2.6744e+00  09_TWonec.avr
  Subjects2021         TWonec             T8     +180..+220    -2.0811e+00  09_TWonec.avr
  Subjects2021         TWonec             T8     +310..+370     1.1299e+00  09_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120    -5.8578e+00  09_TWonec.avr
  Subjects2021         TWonec             Pz     +180..+220    -1.0025e+00  09_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370     1.6637e+00  09_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120     3.5260e+00  09_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220     1.7394e+00  09_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370    -9.2000e-01  09_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120     3.8754e+00  09_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220     1.3337e+00  09_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370    -1.5685e-01  09_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120     1.6859e+00  10_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -5.3010e+00  10_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370     3.8428e+00  10_TWonec.avr
  Subjects2021         TWonec             T7     +100..+120     1.0267e+00  10_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220    -1.4832e+00  10_TWonec.avr
  Subjects2021         TWonec             T7     +310..+370     1.9363e+00  10_TWonec.avr
  Subjects2021         TWonec             Cz     +100..+120     2.7546e+00  10_TWonec.avr
  Subjects2021         TWonec             Cz     +180..+220    -4.0039e-01  10_TWonec.avr
  Subjects2021         TWonec             Cz     +310..+370     3.3427e+00  10_TWonec.avr
  Subjects2021         TWonec             T8     +100..+120    -3.8680e+00  10_TWonec.avr
  Subjects2021         TWonec             T8     +180..+220    -1.4670e+00  10_TWonec.avr
  Subjects2021         TWonec             T8     +310..+370     1.2244e+00  10_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120     2.3850e+00  10_TWonec.avr
  Subjects2021         TWonec             Pz     +180..+220    -4.1825e+00  10_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370     2.4529e+00  10_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120     7.1339e-01  10_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220    -1.5655e+00  10_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370     7.1255e-01  10_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120     4.6814e-01  10_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220    -3.4629e-01  10_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370    -1.0815e+00  10_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120    -4.4660e+00  11_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -3.3964e+00  11_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370     9.8965e-01  11_TWonec.avr
  Subjects2021         TWonec             T7     +100..+120    -5.6951e+00  11_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220    -1.0195e+00  11_TWonec.avr
  Subjects2021         TWonec             T7     +310..+370    -1.0819e+00  11_TWonec.avr
  Subjects2021         TWonec             Cz     +100..+120    -9.2476e+00  11_TWonec.avr
  Subjects2021         TWonec             Cz     +180..+220    -2.9140e+00  11_TWonec.avr
  Subjects2021         TWonec             Cz     +310..+370    -4.1406e-01  11_TWonec.avr
  Subjects2021         TWonec             T8     +100..+120    -3.7276e+00  11_TWonec.avr
  Subjects2021         TWonec             T8     +180..+220     2.2884e+00  11_TWonec.avr
  Subjects2021         TWonec             T8     +310..+370     8.8074e-01  11_TWonec.avr
  Subjects2021         TWonec             Pz     +100..+120    -5.9941e+00  11_TWonec.avr
  Subjects2021         TWonec             Pz     +180..+220    -1.5827e-01  11_TWonec.avr
  Subjects2021         TWonec             Pz     +310..+370    -9.0740e-01  11_TWonec.avr
  Subjects2021         TWonec             M1     +100..+120    -3.9034e+00  11_TWonec.avr
  Subjects2021         TWonec             M1     +180..+220    -3.0917e-01  11_TWonec.avr
  Subjects2021         TWonec             M1     +310..+370    -4.0483e-01  11_TWonec.avr
  Subjects2021         TWonec             M2     +100..+120    -2.1783e+00  11_TWonec.avr
  Subjects2021         TWonec             M2     +180..+220     2.4174e+00  11_TWonec.avr
  Subjects2021         TWonec             M2     +310..+370     1.2629e+00  11_TWonec.avr
  Subjects2021         TWonec             Fz     +100..+120    -5.3302e+00  12_TWonec.avr
  Subjects2021         TWonec             Fz     +180..+220    -3.6781e+00  12_TWonec.avr
  Subjects2021         TWonec             Fz     +310..+370     1.6844e+00  12_TWonec.avr
  Subjects2021         TWonec             T7     +100..+120    -2.2406e+00  12_TWonec.avr
  Subjects2021         TWonec             T7     +180..+220    -3.4735e+00  12_TWonec.avr
