          subj           cond           chan            win           mean
  subject_avgs         TWonec             Fz     +210..+290     1.4704e+00  04_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290     4.0285e+00  04_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290    -3.9278e+00  04_TWonec.avr
  subject_avgs         TWonec             Fz     +210..+290    -5.0578e+00  06_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290    -2.8557e+00  06_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290    -3.3272e+00  06_TWonec.avr
  subject_avgs         TWonec             Fz     +210..+290    -3.8564e+00  07_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290    -1.0517e+00  07_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290    -1.4436e+00  07_TWonec.avr
  subject_avgs         TWonec             Fz     +210..+290    -3.7308e+00  08_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290    -1.1658e+00  08_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290    -3.9712e+00  08_TWonec.avr
  subject_avgs         TWonec             Fz     +210..+290    -3.4749e+00  09_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290    -5.1060e-01  09_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290    -3.6953e-01  09_TWonec.avr
  subject_avgs         TWonec             Fz     +210..+290     4.0573e+00  10_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290     2.6350e+00  10_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290    -2.2460e+00  10_TWonec.avr
  subject_avgs         TWonec             Fz     +210..+290    -3.3630e-01  11_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290     6.1112e-01  11_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290     1.6888e+00  11_TWonec.avr
  subject_avgs         TWonec             Fz     +210..+290    -7.1409e-01  12_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290     2.1494e+00  12_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290    -3.6133e+00  12_TWonec.avr
  subject_avgs         TWonec             Fz     +210..+290     4.0216e+00  13_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290     4.7951e+00  13_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290    -1.5877e+00  13_TWonec.avr
  subject_avgs         TWonec             Fz     +210..+290    -1.2302e+00  14_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290    -1.3647e+00  14_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290    -3.4480e+00  14_TWonec.avr
  subject_avgs         TWonec             Fz     +210..+290     3.5379e-01  16_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290     2.2919e+00  16_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290     3.1954e+00  16_TWonec.avr
  subject_avgs         TWonec             Fz     +210..+290     6.9063e-01  17_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290     1.7482e+00  17_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290    -1.5892e+00  17_TWonec.avr
  subject_avgs         TWonec             Fz     +210..+290    -2.2955e+00  18_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290    -1.2584e+00  18_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290    -2.5751e+00  18_TWonec.avr
  subject_avgs         TWonec             Fz     +210..+290    -1.7942e+00  19_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290     2.4554e+00  19_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290    -8.4487e-01  19_TWonec.avr
  subject_avgs         TWonec             Fz     +210..+290    -6.6599e-01  20_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290    -3.9475e+00  20_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290    -4.7975e+00  20_TWonec.avr
  subject_avgs         TWonec             Fz     +210..+290     8.6366e+00  21_TWonec.avr
  subject_avgs         TWonec             Cz     +210..+290    -5.2639e-01  21_TWonec.avr
  subject_avgs         TWonec             Pz     +210..+290    -3.7945e+00  21_TWonec.avr
